Section,Level,Question,Option A,Option B,Option C,Option D,Correct Answer
Gen AI,staff,"In generative AI, a prompt-only fix is insufficient when:","The model must acquire a distributional skill (accent of a dialect, layout prior) that examples in context cannot stably teach at your latency budget",You only needed to rename a field in the instructions,A single new fact must be true tomorrow,You wanted to add one URL to retrieve,A
Gen AI,staff,"In generative AI, a/B eval where the judge sees the system name and prefers the verbose variant is contaminated by:","Length and identity bias, not the hidden task metric",Perfect calibration,Token-free scoring,Retrieval recall,A
Gen AI,staff,"In generative AI, for a tool argument that must be a valid ID, temperature 1.0 is a poor default because:",High entropy sampling increases the chance of a locally likely but invalid ID string,Temperature cannot affect sampled tokens,Tool IDs are never tokenized,Temperature 1.0 disables the context,A
Gen AI,staff,"In generative AI, hybrid search (keyword + vector) often beats vectors alone for RAG because:","Rare IDs, error codes, and exact names are easy for lexical match and easy for embedding models to blur",Keyword search cannot find exact strings,Embeddings always preserve identifiers,Chunking becomes unnecessary,A
Gen AI,staff,"In generative AI, multilingual token inequality matters in production because:",The same user intent can exhaust the window or the budget in one language and not another,Every language has identical bytes-per-token,"Truncation always drops tokens from the end of the vocabulary, not the prompt",Cost is billed per word in every API,A
Gen AI,staff,"In generative AI, offline eval is green; online users still jailbreak a tool-using assistant. What eval gap is this?",Offline eval cannot test tools.,You lacked adversarial/red-team cases and runtime policy on tools; capability eval ≠ security eval.,Jailbreaks only happen offline.,"If BLEU is high, safety follows.",B
Gen AI,staff,"In generative AI, quadratic attention in sequence length implies that doubling a dense prompt can:","At most double compute in those layers, never more","Roughly quadruple attention compute, on top of already paying for twice the tokens",Leave latency unchanged,"Only affect disk, not GPU time",B
Gen AI,staff,"In generative AI, retrieved chunk C is top-ranked and the model quotes it. The answer is still wrong. Which failure is this?",Citation-not-entailment: the chunk is topically related but does not support the claim,Empty retrieval,Tokenizer underflow,Temperature is NaN,A
Gen AI,staff,"In generative AI, semantic chunking that embeds sliding windows and splits on similarity drops can fail when:","A logical unit (API + error codes) is semantically diverse so it is split, while boilerplate is glued because it is self-similar",You store metadata,You use overlap of 10–20%,You keep titles in the chunk,A
Gen AI,staff,"In generative AI, teacher-forcing trains the model on gold prefixes, but inference is autoregressive on its own tokens. This gap contributes to hallucination because:",The model never sees tokens at train time,"Errors compound: a slightly off prefix makes a false continuation more likely, with no external correction",Temperature becomes exactly 1 at test time always,"Loss is computed on images, not text",B
Gen AI,staff,"In generative AI, test questions appear inside few-shot prompts used at eval time. The pitfall is:","Data leakage: you are measuring memorization of the eval items, not generalization",A required RAG feature,The only way to compute BLEU,Unrelated to contamination,A
Gen AI,staff,"In generative AI, when is fine-tuning the wrong tool even if RAG is “hard”?",You need the model to recite a policy that legal changes weekly,You need a house writing style on a stable task,You need lower latency on a fixed schema after distillation,You need the model to use domain abbreviations consistently,A
Gen AI,staff,"In generative AI, you have a long system prompt, retrieved chunks, and a growing chat. The hidden cost is not only the latest user line because:",Only new characters are billed,"Typical APIs bill (and the model processes) the full prompt each turn, so history plus retrieval compounds",Cached identical prefixes are never relevant to cost,Output tokens are free,B
Gen AI,staff,"In generative AI, you must ship a RAG system with a recall SLO. Embeddings-only search fails on SKUs and error codes. What do you add and why?",A larger embedding dimension always fixes exact tokens.,Hybrid retrieval (lexical + vector) because embeddings are weak on rare identifiers; keyword/BM25 still wins there.,Lower temperature.,Disable chunking so the embedding sees the whole corpus at once.,B
Java,staff,A library registers a JVM shutdown hook that talks to the network. Kubernetes sends SIGTERM and kills after terminationGracePeriod. Why is the hook a bad place for flush?,Shutdown hooks always get 10 minutes.,"Hooks race the SIGTERM budget and other hooks; flush in the application lifecycle (Spring close, preStop) with an explicit timeout smaller than the grace period.",SIGTERM cannot interrupt Java.,Kubernetes never sends SIGKILL.,B
Java,staff,"In Java, a latency SLO is missed only during old-gen collections on a huge heap. What is the architectural move, not a GC flag trivia answer?",Always `-XX:+UseSerialGC` on 256 GB heaps.,"Shrink live set (off-heap caches, smaller heaps, more instances), or pick a collector/heap size that meets pause goals — GC flags cannot fix a 100 GB live set you treat as a cache.",Disable GC and use malloc.,One JVM per company is more efficient.,B
Java,staff,"In Java, false sharing: two threads update adjacent counters in an array and scale poorly. What is actually happening?",The JVM inserts a global lock on int[].,They bounce the same cache line between cores; padding/striping (or LongAdder-style cells) separates the lines.,int[] is always on-heap so atomics cannot work.,This only happens on 32-bit JVMs.,B
Kubernetes,staff,"Admission defaulted imagePullPolicy Always for :latest, but your air-gapped nodes use a rewrite mutating webhook to a digest. A human later kubectl set image …:latest. What breaks first?","Pulls against a tag that is not in the internal registry, or different nodes resolve different digests if the webhook is skipped on some paths","Kubernetes converts latest to a digest in etcd forever, so nothing breaks",PDB blocks all image changes,HPA refuses to scale pods with latest,A
Kubernetes,staff,"In Kubernetes, API server / etcd: thousands of Endpoints with notReadyAddresses flapping because readiness is tied to a flappy dependency. Control-plane effect?",Watch traffic and etcd writes explode (Endpoints/EndpointSlice churn) — you DDoS the control plane with probe misuse,etcd ignores Endpoint updates,Only kube-proxy on that node is affected; API QPS is unchanged,VPA compresses Endpoint objects,A
Kubernetes,staff,"In Kubernetes, VPA recommender suggests 8Gi, HPA target is 70% CPU, Guaranteed QoS. You apply VPA in-place resize where supported vs restart. Risk to availability?",Resize that needs a restart is an eviction; without surge/PDB room you dip below SLO. In-place CPU/memory still changes utilization and can flap HPA,VPA never restarts pods in any mode,Guaranteed QoS blocks all resizes,etcd stores only the original request forever,A
